Date,High,Low,Open,Close,Volume,Adj Close
1993-05-25,45.125,45.03125,45.125,45.03125,191800.0,26.194477081298828
1993-05-26,45.625,45.125,45.15625,45.59375,102400.0,26.52168083190918
1993-05-27,45.65625,45.375,45.65625,45.4375,53800.0,26.430774688720703
1993-05-28,45.40625,45.0,45.40625,45.21875,79100.0,26.30353355407715
1993-06-01,45.8125,45.3125,45.375,45.65625,28300.0,26.55802345275879
1993-06-02,45.75,45.34375,45.53125,45.59375,20300.0,26.52168083190918
1993-06-03,45.5,45.34375,45.5,45.4375,21600.0,26.430774688720703
1993-06-04,45.3125,45.09375,45.3125,45.28125,32000.0,26.33989715576172
1993-06-07,45.375,45.125,45.375,45.125,121400.0,26.248998641967773
1993-06-08,45.0,44.71875,45.0,44.71875,104500.0,26.012683868408203
1993-06-09,45.0625,44.8125,44.875,44.875,43300.0,26.10357666015625
1993-06-10,44.9375,44.75,44.84375,44.90625,17900.0,26.12175178527832
1993-06-11,45.15625,44.90625,45.0625,45.09375,647400.0,26.23082733154297
1993-06-14,45.1875,45.03125,45.15625,45.03125,64200.0,26.194477081298828
1993-06-15,45.125,44.9375,45.09375,44.9375,142400.0,26.139930725097656
1993-06-16,45.03125,44.8125,44.9375,45.03125,330900.0,26.194477081298828
1993-06-17,45.1875,45.03125,45.125,45.1875,37400.0,26.285364151000977
1993-06-18,44.84375,44.5,44.84375,44.5,58500.0,26.06888771057129
1993-06-21,44.625,44.53125,44.625,44.59375,29300.0,26.12382698059082
1993-06-22,44.65625,44.5625,44.65625,44.625,137500.0,26.142127990722656
1993-06-23,44.625,44.21875,44.625,44.21875,227600.0,25.904125213623047
1993-06-24,44.8125,44.34375,44.34375,44.8125,243700.0,26.251970291137695
1993-06-25,44.90625,44.75,44.78125,44.78125,44800.0,26.233654022216797
1993-06-28,45.28125,44.9375,45.0,45.28125,439900.0,26.526561737060547
1993-06-29,45.21875,45.0,45.21875,45.0625,207500.0,26.398414611816406
1993-06-30,45.21875,45.0,45.125,45.0625,437600.0,26.398414611816406
1993-07-01,45.125,44.875,45.125,44.9375,605700.0,26.325191497802734
1993-07-02,44.8125,44.53125,44.78125,44.6875,285400.0,26.17872428894043
1993-07-06,44.75,44.15625,44.625,44.21875,246400.0,25.904125213623047
1993-07-07,44.40625,44.1875,44.1875,44.34375,343700.0,25.977359771728516
1993-07-08,44.9375,44.3125,44.375,44.84375,248200.0,26.270263671875
1993-07-09,44.96875,44.75,44.84375,44.96875,378200.0,26.343496322631836
1993-07-12,44.96875,44.84375,44.90625,44.9375,373700.0,26.325191497802734
1993-07-13,45.09375,44.65625,44.96875,44.90625,389600.0,26.306882858276367
1993-07-14,45.1875,44.90625,44.9375,45.0625,617300.0,26.398414611816406
1993-07-15,45.03125,44.78125,45.03125,44.875,443800.0,26.288578033447266
1993-07-16,44.9375,44.6875,44.90625,44.75,216400.0,26.215354919433594
1993-07-19,44.75,44.59375,44.75,44.71875,188200.0,26.197046279907227
1993-07-20,44.84375,44.46875,44.6875,44.84375,68500.0,26.270263671875
1993-07-21,44.8125,44.65625,44.78125,44.8125,142700.0,26.251970291137695
1993-07-22,44.8125,44.5,44.75,44.5,632400.0,26.06888771057129
1993-07-23,44.71875,44.5625,44.59375,44.71875,286200.0,26.197046279907227
1993-07-26,45.0625,44.84375,44.84375,44.96875,121300.0,26.343496322631836
1993-07-27,45.03125,44.78125,45.0,44.9375,92800.0,26.325191497802734
1993-07-28,44.9375,44.78125,44.84375,44.84375,30800.0,26.270263671875
1993-07-29,45.21875,44.875,44.9375,45.09375,331000.0,26.41672706604004
1993-07-30,45.09375,44.78125,45.09375,44.84375,75300.0,26.270263671875
1993-08-02,45.125,44.90625,44.90625,44.96875,41300.0,26.343496322631836
1993-08-03,45.1875,44.84375,45.0625,45.0,81600.0,26.361806869506836
1993-08-04,45.09375,44.875,45.0,45.0,434000.0,26.361806869506836
1993-08-05,45.0,44.84375,45.0,44.90625,36800.0,26.306882858276367
1993-08-06,45.0625,44.90625,45.03125,44.96875,402300.0,26.343496322631836
